"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"212"	5	29	4	9	6	18	4	7	0	2	17	7	351	4	3	7	7	2	7	9	4	5	4	4	0	1	0	4	6	45	14	4	8	4	5	14	1	39	10	175	3	4	17	12	2	15	5	1	2	2	5	6	1	4	1	2	3	3	6	2	5	1	1	4	3	3	3	32	4	0	56	35	3	2	22	12	0	0	8	30	7	2	89	3	9	1	8	1	3	9	16	6	12	6	6	12	1	6	6	1
"218"	8	32	8	9	11	19	5	8	0	4	12	2	338	2	4	11	6	0	5	9	6	6	9	4	0	3	0	4	9	36	12	3	8	9	2	19	1	39	6	181	2	4	17	13	7	13	11	0	2	2	6	5	4	8	1	1	4	3	6	7	8	3	0	4	9	8	4	30	8	1	47	38	2	6	18	7	0	3	9	31	10	1	106	2	11	0	7	0	3	7	9	4	12	6	6	11	0	8	5	3
"222"	9	28	14	21	8	18	3	4	0	3	15	2	327	2	5	9	9	0	4	12	3	7	15	5	0	1	0	5	6	43	6	9	4	10	5	20	1	32	9	172	3	3	22	17	12	10	6	0	2	2	6	7	2	9	1	8	2	5	3	7	9	3	0	3	12	3	4	20	10	2	54	33	1	6	27	12	0	3	7	27	5	1	98	3	6	1	7	0	2	5	14	4	7	5	7	8	0	3	5	6
"224"	7	26	7	11	7	18	3	8	0	2	14	3	322	2	6	5	7	2	6	7	7	4	10	4	0	1	1	7	6	46	13	9	7	12	7	25	2	30	8	174	3	5	25	16	12	12	5	0	1	3	5	9	0	8	2	8	0	0	2	7	10	2	0	2	13	3	3	17	6	0	54	38	0	4	24	13	0	3	16	28	3	0	88	4	6	1	10	1	3	3	13	2	9	5	7	10	2	4	3	5
"231"	2	24	2	6	15	19	0	4	0	0	13	3	322	3	3	9	0	1	2	9	3	5	17	2	0	1	0	5	6	51	13	6	2	13	1	32	1	44	9	184	0	8	18	15	4	21	7	0	0	5	3	4	1	9	2	2	2	3	6	9	16	2	0	4	9	2	1	29	7	0	48	46	3	3	21	9	0	2	8	21	5	3	72	3	7	0	14	1	2	5	9	3	14	3	4	16	0	8	11	1
"239"	8	30	10	9	3	25	4	6	0	1	16	0	317	2	4	10	5	3	5	14	2	6	6	3	0	2	0	5	6	51	10	3	4	10	3	22	2	50	10	192	0	7	20	19	2	22	4	0	1	2	2	6	1	9	3	4	1	3	2	4	14	1	1	5	12	6	2	32	3	1	49	37	2	4	28	10	0	3	15	23	10	3	67	6	11	1	5	1	2	6	13	5	11	4	8	14	0	6	7	3
"240"	8	25	10	12	6	25	6	5	0	4	16	1	318	4	7	9	6	1	5	9	4	4	14	4	0	2	0	5	6	50	9	3	0	8	5	18	1	49	9	191	0	8	16	16	2	26	7	0	0	3	2	4	0	14	1	4	2	0	6	8	12	1	1	5	11	6	3	28	4	1	51	38	1	6	24	14	0	3	18	22	6	3	65	7	7	1	4	0	5	8	11	8	13	6	6	13	1	6	7	2
"257"	3	37	9	5	4	20	4	6	1	1	12	0	334	3	3	6	5	4	8	4	3	6	4	3	0	0	0	4	5	57	15	5	2	9	7	22	5	55	7	195	4	6	16	23	8	17	9	0	1	4	2	5	0	7	3	4	0	3	5	6	8	1	0	1	9	3	2	27	6	1	45	48	0	7	26	5	1	0	10	27	4	2	68	2	7	0	10	0	1	9	14	5	18	7	4	14	0	7	12	1
"259"	7	36	7	9	6	19	4	6	0	1	9	2	333	3	3	4	3	5	7	10	4	4	13	5	0	0	0	3	6	53	16	3	6	12	4	31	1	59	5	195	4	7	16	15	5	17	7	0	1	3	0	2	1	10	3	1	3	0	1	7	3	1	0	3	12	6	3	23	9	0	46	46	2	9	24	11	1	1	13	27	4	2	66	4	8	2	9	0	4	4	15	2	20	4	8	15	0	9	3	1
"265"	5	29	6	7	6	19	1	6	0	1	13	6	309	6	7	7	5	2	6	11	5	4	11	0	0	1	0	2	6	54	12	1	5	10	5	30	1	60	9	189	3	9	18	12	2	14	8	0	0	0	0	4	2	10	0	4	1	1	3	8	12	2	0	1	14	3	3	29	13	0	60	36	6	7	18	7	0	3	17	29	4	1	62	4	7	0	5	1	2	8	15	4	17	6	8	13	0	11	6	5
"275"	5	28	12	5	4	21	4	5	0	1	13	0	317	3	2	4	6	2	4	8	9	9	7	0	0	4	0	8	4	47	16	7	3	6	3	18	2	48	2	199	0	1	13	10	4	13	6	0	0	0	2	8	2	7	3	3	3	5	6	12	11	4	2	11	9	4	6	36	5	1	58	36	1	7	22	9	0	0	5	25	5	4	77	10	10	1	8	0	6	7	9	6	10	7	4	22	0	10	4	5
"297"	4	30	8	12	11	23	4	5	1	2	17	4	341	5	4	4	1	2	6	10	7	2	12	4	2	4	0	1	3	54	9	7	6	7	2	30	2	47	7	195	2	9	21	16	7	12	4	0	0	2	2	7	1	9	1	2	1	0	6	6	7	0	1	4	8	2	3	28	9	0	59	42	3	7	22	6	0	1	10	25	3	1	52	3	9	0	7	3	2	7	12	10	15	4	8	14	1	5	2	3
"300"	5	30	9	11	13	24	3	6	0	1	19	3	345	3	1	9	0	2	3	9	4	7	12	4	0	1	0	3	7	60	9	5	3	7	4	29	1	51	13	198	1	3	20	18	6	14	8	0	0	5	1	10	0	10	4	4	0	2	5	3	8	2	2	6	10	5	2	31	4	3	63	34	3	6	24	6	0	1	8	31	4	1	42	3	9	0	8	1	5	8	9	0	12	7	7	15	1	5	7	4
"315"	9	26	8	9	8	17	7	8	0	2	15	0	343	5	3	6	5	2	7	12	4	9	7	1	0	2	0	5	2	76	9	2	7	6	0	28	2	42	9	196	1	10	10	11	6	13	7	0	1	2	0	7	0	9	0	4	3	1	1	1	6	3	1	1	11	5	0	23	7	4	59	45	3	3	25	7	0	2	8	36	7	0	65	5	8	1	9	0	2	9	14	3	5	5	4	14	0	6	5	4
"330"	9	33	6	7	7	17	5	3	0	2	13	3	358	4	6	9	5	3	4	8	2	3	12	3	0	1	0	2	4	55	13	4	3	11	2	31	5	49	15	185	1	5	15	20	6	13	5	2	0	6	3	2	1	11	3	7	2	1	6	5	16	2	2	4	17	4	0	21	10	1	55	39	3	7	19	5	1	1	13	33	2	1	69	5	10	0	9	0	2	7	13	3	11	3	12	13	0	9	5	2
"332"	4	27	9	6	8	17	3	8	0	1	17	2	354	4	2	10	3	1	7	11	5	5	9	2	0	3	0	4	6	55	10	4	3	9	6	26	1	46	10	181	3	5	14	19	9	19	4	2	0	3	4	3	1	7	3	6	2	1	5	9	4	0	2	3	13	3	6	24	8	0	50	40	6	7	22	7	1	1	9	35	6	3	60	5	7	1	8	0	1	5	14	2	15	3	3	13	1	9	3	2
"338"	1	21	6	6	1	18	7	4	0	2	15	4	342	0	4	5	5	1	8	8	5	6	17	2	1	0	0	6	6	50	13	4	6	7	7	23	4	48	9	186	3	11	22	19	7	15	11	0	0	5	1	7	0	7	2	3	2	4	2	4	13	2	0	4	5	5	1	31	6	1	59	42	4	9	20	9	0	3	14	28	5	1	59	6	5	0	5	0	6	3	10	5	12	7	5	13	0	6	5	3
"343"	13	23	3	15	8	21	7	7	0	3	12	1	325	5	2	12	2	1	4	9	3	3	7	4	1	5	0	2	6	47	14	5	2	10	1	31	2	45	9	204	1	5	16	12	7	9	5	0	0	4	3	2	0	6	0	2	2	2	4	6	7	1	0	9	12	3	2	28	16	2	62	44	3	4	25	10	0	1	16	38	7	0	74	4	10	0	9	3	3	3	12	5	9	7	4	18	0	11	3	5
"355"	10	26	9	10	7	26	1	8	0	4	10	2	355	7	4	10	7	2	4	9	3	5	13	2	0	3	0	2	4	57	10	5	4	12	2	30	1	50	5	207	1	10	17	12	4	9	2	0	0	3	3	6	1	8	3	2	2	0	8	8	8	1	0	4	10	3	1	26	4	1	64	37	4	12	19	5	0	3	10	47	7	1	58	3	10	1	11	0	2	4	12	6	14	6	5	16	0	10	6	0
"357"	6	26	6	6	7	25	0	2	0	0	13	2	367	3	7	6	5	3	5	9	3	9	13	4	0	3	0	4	5	59	11	4	3	9	2	33	2	49	9	197	1	4	21	22	4	13	5	1	1	2	2	7	0	12	3	6	0	0	3	10	7	3	1	3	7	5	4	28	8	2	68	38	3	8	9	7	0	3	13	43	5	2	58	4	8	0	11	0	4	6	10	8	16	6	5	12	2	8	6	0
"378"	11	35	9	5	4	22	3	5	0	4	18	7	356	2	3	5	6	2	5	5	4	9	10	1	0	0	0	0	3	54	11	5	5	10	1	24	1	55	10	191	3	3	17	6	3	9	4	0	0	2	2	6	2	14	2	6	2	0	2	8	6	2	1	4	11	3	2	29	5	2	58	30	1	2	28	8	1	2	5	36	4	1	66	1	14	0	6	0	3	6	14	4	17	9	5	19	1	11	9	4
"385"	10	38	10	10	8	24	2	4	0	0	8	7	351	5	10	4	3	0	5	8	1	3	11	3	0	2	0	5	6	48	10	6	4	8	1	20	4	44	9	183	3	3	16	10	8	13	9	0	0	4	1	5	0	13	1	1	1	3	6	3	15	1	1	5	12	2	7	23	7	2	50	27	3	1	20	8	1	0	10	37	4	1	72	3	9	1	7	0	5	8	12	3	16	8	1	14	0	8	6	6
"389"	9	36	13	6	6	24	1	9	0	1	17	2	365	1	6	3	4	2	6	6	2	6	9	1	0	4	0	4	5	55	6	3	4	12	3	29	1	37	10	185	0	4	15	10	4	11	6	0	1	3	3	5	0	6	3	3	1	1	5	12	6	2	2	9	6	6	4	18	8	0	63	25	3	10	19	11	0	2	11	35	6	1	81	5	8	0	6	2	3	8	15	9	15	8	3	10	1	10	5	3
"395"	6	31	6	9	8	28	4	4	0	2	21	4	378	1	4	2	2	2	3	13	7	9	7	1	0	1	1	6	4	60	9	2	4	7	6	22	4	48	17	181	1	6	9	15	5	16	3	0	0	1	1	8	2	7	0	6	3	1	7	4	11	1	3	6	6	0	3	26	6	1	53	26	1	6	24	12	0	1	4	26	6	0	80	3	4	3	6	0	3	10	12	5	14	3	6	12	0	5	6	4
"411"	6	25	6	9	7	21	3	9	0	2	15	5	365	0	5	7	4	5	2	8	4	7	10	2	0	1	0	4	4	52	15	1	3	5	3	21	3	52	13	189	3	7	15	20	4	13	5	0	1	3	5	6	2	9	2	6	1	3	3	10	13	0	2	3	10	3	4	26	4	0	50	30	4	4	21	11	0	2	13	24	7	1	68	4	9	1	8	2	4	5	13	5	11	7	7	18	2	7	5	4
"416"	6	23	5	7	9	24	2	4	2	3	10	0	347	3	8	4	7	3	8	12	5	3	13	4	0	3	0	4	11	56	11	4	4	7	4	19	2	54	9	197	0	4	16	17	5	13	10	0	0	4	4	7	0	6	2	4	0	3	2	3	9	3	0	6	11	4	0	31	4	4	55	25	5	6	16	12	0	0	11	20	6	0	79	4	10	2	7	0	1	9	10	6	14	3	7	12	0	6	6	5
"440"	8	27	8	9	9	27	2	2	0	3	16	2	325	0	3	3	4	2	3	14	3	2	14	4	3	2	0	4	7	62	9	0	7	9	7	14	5	59	9	203	3	3	10	21	3	27	12	1	0	5	5	10	0	9	3	1	1	2	7	7	5	2	1	11	8	3	6	26	9	2	51	29	6	13	16	5	0	0	10	38	4	1	57	2	8	3	2	0	3	4	12	2	12	5	5	13	0	6	8	6
"446"	5	27	6	4	5	24	3	3	0	3	15	4	319	4	4	13	5	4	4	10	5	7	15	2	1	2	0	3	5	62	19	6	4	8	3	22	4	61	10	213	2	2	20	9	6	15	5	0	2	2	1	5	3	2	2	2	4	1	4	4	12	0	1	1	9	5	4	23	12	1	39	22	4	12	28	10	0	4	8	35	8	1	55	3	9	0	5	1	4	8	15	2	12	6	1	9	0	6	4	6
"459"	5	33	16	10	3	21	4	5	0	0	20	2	326	1	7	11	4	2	6	13	7	7	13	0	0	1	0	2	2	54	6	8	4	7	5	26	6	43	15	217	1	9	16	11	6	17	9	0	2	4	2	1	2	10	2	7	0	1	4	8	12	3	1	6	9	3	4	26	6	0	44	31	4	9	18	10	1	2	11	32	6	0	70	3	6	0	7	0	0	4	6	5	20	3	2	12	1	8	3	6
"464"	7	38	10	7	8	27	1	4	0	1	20	1	340	3	3	6	4	2	3	12	2	9	7	4	0	4	0	2	0	59	9	2	0	14	2	26	1	47	13	217	3	10	15	22	8	12	6	1	1	0	1	3	2	11	1	6	3	2	4	6	7	2	1	6	8	3	4	23	4	0	61	35	5	1	12	9	0	2	9	28	7	1	68	5	7	1	8	1	2	6	9	2	17	6	4	9	0	6	8	7
"465"	4	42	13	5	8	28	2	2	0	2	20	2	347	4	1	5	5	2	1	11	6	5	14	3	0	3	0	3	7	54	7	3	4	10	0	31	3	44	14	222	3	9	12	26	3	14	4	0	1	1	2	5	1	8	0	2	2	4	2	7	6	1	1	5	11	2	3	23	7	3	57	32	3	1	16	9	0	3	7	26	2	2	66	4	9	0	8	0	3	4	9	4	16	3	6	17	1	10	6	6
"474"	5	31	10	9	2	23	0	7	0	1	12	3	307	3	10	9	2	0	4	11	3	5	9	3	0	1	1	4	3	54	15	5	5	9	3	23	4	50	10	232	3	7	21	23	9	11	5	0	0	2	2	4	3	6	2	1	1	1	2	7	7	1	0	3	13	3	4	33	5	0	49	28	5	5	24	8	0	4	6	28	7	2	63	2	7	2	7	0	2	9	19	3	9	6	3	16	1	10	6	5
"476"	7	29	13	15	4	19	2	9	0	3	9	1	301	0	11	8	4	0	7	12	1	6	10	3	0	0	0	5	4	60	14	4	5	9	6	19	0	56	10	231	2	11	20	15	5	16	4	2	0	1	2	5	2	8	2	2	3	3	3	2	10	2	0	1	11	2	3	38	5	4	45	33	1	6	23	11	0	3	12	29	4	0	62	3	7	0	6	0	4	6	14	6	9	6	7	11	0	11	8	4
"490"	10	30	2	8	5	21	0	3	0	2	18	3	301	3	6	9	5	3	5	9	5	4	16	3	0	2	0	1	6	49	15	8	3	12	4	19	1	55	6	258	0	8	19	14	2	6	7	0	1	2	0	10	1	9	1	3	1	3	1	6	9	2	0	7	9	4	1	40	6	2	54	28	0	7	22	7	0	3	6	30	4	0	74	2	7	0	1	0	3	7	8	8	9	4	9	15	0	6	5	2
"498"	10	30	7	11	6	27	0	4	0	1	18	2	308	0	3	5	7	1	5	8	2	7	12	3	0	3	0	4	6	60	5	3	1	9	5	35	2	54	12	247	1	6	24	13	3	9	5	0	2	5	1	6	0	8	0	4	1	1	4	5	9	1	1	3	15	2	3	29	6	4	60	26	1	6	22	4	0	3	7	33	3	1	74	3	16	2	10	2	1	7	8	3	13	4	3	8	1	7	7	2
"505"	5	34	14	6	6	22	2	3	0	5	16	0	313	2	6	9	3	3	4	6	4	4	11	1	0	2	0	1	4	75	7	4	2	9	7	25	4	48	12	236	4	7	15	11	6	9	8	1	0	7	1	6	0	8	5	8	1	0	7	8	17	0	0	6	3	4	3	27	5	0	65	22	2	3	21	13	0	2	17	28	3	2	61	4	8	0	3	1	3	6	10	5	12	7	7	17	2	3	5	0
"514"	3	44	12	6	8	20	3	2	0	1	15	3	308	0	2	3	7	1	8	8	3	3	8	4	0	4	0	5	3	55	6	7	6	6	4	23	0	51	10	228	0	7	17	15	8	8	7	1	0	3	2	6	2	10	3	6	3	1	4	4	8	0	0	2	4	3	3	33	9	0	51	24	6	6	28	7	0	3	14	16	7	6	75	3	10	1	8	0	5	6	9	5	13	10	4	15	0	6	4	4
"518"	9	42	12	10	5	18	2	3	0	3	16	6	314	3	4	6	6	2	8	9	3	1	5	1	1	1	0	4	5	46	8	6	2	20	2	28	2	53	11	225	2	7	19	16	7	10	4	0	0	4	2	6	3	5	3	5	3	2	2	2	9	1	0	6	6	3	5	29	8	1	46	23	4	9	25	9	1	2	13	17	9	1	72	2	11	0	11	0	1	7	14	2	17	5	8	12	1	8	7	4
"524"	4	28	5	11	9	18	2	4	1	1	14	0	315	6	2	5	3	2	4	6	4	3	9	6	1	1	0	2	5	42	11	5	2	10	2	24	3	57	11	226	3	0	16	10	11	14	6	0	0	3	4	3	1	12	0	5	0	0	5	10	11	0	2	4	7	5	2	32	9	3	65	30	3	8	16	17	0	6	8	14	3	0	78	6	10	0	9	3	9	6	13	5	13	8	4	14	0	14	6	2
"536"	2	26	16	3	1	22	3	5	0	4	13	2	288	0	4	7	4	1	4	7	2	4	18	4	0	2	0	5	6	63	5	5	5	10	1	19	2	44	13	229	4	7	25	21	7	21	6	0	0	3	2	3	0	12	3	8	2	2	6	6	10	1	2	5	11	2	2	25	5	0	64	34	5	10	22	15	0	2	15	12	7	3	75	3	5	1	3	3	0	8	13	4	10	4	4	9	0	7	10	3
"543"	6	21	7	6	4	18	3	7	0	3	12	3	303	3	7	12	4	2	5	13	4	3	11	5	0	1	0	1	6	63	12	3	4	10	4	23	4	38	9	215	1	4	25	15	9	23	6	0	1	6	2	4	2	6	3	4	5	0	6	2	9	1	4	5	3	5	1	35	9	1	51	34	3	8	24	9	0	2	9	22	4	2	69	2	8	0	5	1	1	10	18	4	8	7	4	16	0	4	7	4
"547"	3	23	4	5	4	19	2	4	0	3	13	1	314	0	2	4	8	4	5	12	7	6	12	7	0	1	0	6	5	64	10	4	5	9	3	35	2	37	15	203	4	6	20	16	4	16	2	0	2	3	2	6	1	8	2	6	2	1	9	4	17	1	2	4	13	4	3	36	4	2	53	31	4	4	27	7	0	3	14	24	3	1	86	5	9	0	8	0	2	5	14	5	9	4	7	9	1	5	9	4
"549"	7	26	9	4	5	18	2	3	0	1	14	3	307	5	4	8	7	4	1	14	5	4	11	3	0	1	0	3	8	62	13	6	4	7	11	32	0	38	9	204	5	8	20	15	11	13	3	1	2	3	3	4	2	9	1	2	0	0	3	5	12	5	2	4	5	3	0	36	10	3	56	36	2	4	29	5	0	1	12	22	6	0	86	4	8	1	10	2	2	7	15	3	10	6	6	16	3	5	8	2
"555"	12	33	10	10	7	10	3	2	1	2	11	1	307	4	2	6	5	1	5	8	3	4	11	3	0	0	0	2	6	69	6	9	6	4	5	32	1	34	9	186	0	7	17	21	5	14	7	0	0	2	1	3	0	10	1	6	2	2	4	9	14	0	1	5	13	2	6	37	9	2	52	25	6	5	31	13	0	5	14	18	6	1	86	2	12	1	11	1	2	6	6	2	8	7	5	8	1	7	5	2
"559"	6	28	12	8	4	16	2	4	0	4	12	0	317	2	4	5	1	1	8	11	2	5	12	4	0	1	2	2	10	77	13	5	4	12	2	28	0	35	11	188	3	6	20	18	3	11	5	0	0	7	3	1	1	6	2	3	0	5	1	5	13	1	3	3	12	4	5	32	11	2	58	32	1	7	27	10	0	4	16	16	3	2	81	4	6	1	10	1	6	7	17	3	12	11	8	6	0	6	3	1
"561"	8	28	8	10	4	19	2	14	0	2	11	2	312	0	2	12	9	0	9	8	4	4	12	5	0	0	0	5	7	74	10	4	1	6	7	23	1	37	11	189	2	6	15	14	4	12	4	2	0	8	1	0	2	3	1	3	4	2	4	5	12	2	3	5	13	2	3	32	9	2	55	31	7	1	16	9	0	3	10	17	7	0	82	8	10	1	11	1	4	3	14	2	12	10	2	11	0	8	5	1
"567"	6	18	2	9	6	16	3	6	0	1	11	5	313	5	2	12	7	2	4	13	1	7	7	3	0	0	1	5	7	73	13	7	5	4	2	30	2	41	15	194	0	6	15	18	5	10	6	0	3	4	0	3	1	13	0	8	5	3	8	8	13	1	2	4	2	4	3	28	10	2	52	26	1	7	27	12	0	5	13	13	2	3	77	7	8	1	8	0	6	4	11	5	12	2	4	17	1	5	6	3
"573"	8	35	13	12	6	19	1	2	0	0	21	4	320	3	3	15	7	3	7	7	2	7	14	2	0	4	0	5	2	71	17	1	7	10	3	29	7	43	8	176	5	5	17	7	3	22	14	0	0	4	2	14	1	7	0	10	3	2	3	5	13	0	0	3	13	2	3	29	10	2	55	31	4	6	28	9	0	5	10	12	8	1	73	3	5	1	4	0	4	1	7	6	11	7	4	12	1	8	6	1
